name,state,population
Elizabeth,NJ,124755
Hartford,CT,124062
Waco,TX,124009
Bellevue,WA,123771
New Haven,CT,123669
West Valley City,UT,123447
Topeka,KS,123446
Thousand Oaks,CA,123091
El Monte,CA,121791
McKinney,TX,121211
Concord,CA,121160
Visalia,CA,121040
Simi Valley,CA,120543
Olathe,KS,119993
Clarksville,TN,119735
Denton,TX,119454
Stamford,CT,119303
Provo,UT,118581
Springfield,IL,117352
Killeen,TX,116934
Abilene,TX,116484
Evansville,IN,116309
Gainesville,FL,114916
Vallejo,CA,114729
Ann Arbor,MI,114386
Peoria,IL,114114
Lansing,MI,113968
Lafayette,LA,113656
Thornton,CO,113429
Athens,GA,113398
Flint,MI,112900
Inglewood,CA,112714
Roseville,CA,112660
Charleston,SC,111978
Beaumont,TX,110553
Independence,MO,110440
Victorville,CA,110318
Santa Clara,CA,110200
Costa Mesa,CA,110080
Miami Gardens,FL,109346
Manchester,NH,108586
Miramar,FL,108484
Downey,CA,107587
Arvada,CO,107361
Allentown,PA,107250
Westminster,CO,107056
Waterbury,CT,107037
Norman,OK,106957
Midland,TX,106561
Elgin,IL,106330
West Covina,CA,105790
Clearwater,FL,105774
Cambridge,MA,105596
Pueblo,CO,104951
West Jordan,UT,104447
Round Rock,TX,104446
Billings,MT,103994
Erie,PA,103817
South Bend,IN,103807
Ventura,CA,103706
Fairfield,CA,103683
Lowell,MA,103615
Norwalk,CA,102982
Burbank,CA,102968
Richmond,CA,102285
Pompano Beach,FL,101943
High Point,NC,101835
Murfreesboro,TN,101753
Lewisville,TX,101624
Richardson,TX,101589
Daly City,CA,101514
Berkeley,CA,101371
Gresham,OR,101221
Wichita Falls,TX,101202
Green Bay,WI,101025
Davenport,IA,100827
Palm Bay,FL,100786
Columbia,MO,100733
Portsmouth,VA,100577
Rochester,MN,100413
Antioch,CA,100219
Wilmington,NC,100192
,,
,,
,,
,,
