value,name
7,Pocket PC software
7,Programming idioms
7,Programming language classification
7,Programming language topics
7,Programming language topic stubs
7,Servers (computing)
7,Software companies based in the San Francisco Bay Area
7,Software project management
7,Technology companies based in the San Francisco Bay Area
7,Theoretical computer science
7,Unit testing
7,Unit testing frameworks
7,Video game development
7,Videotelephony
7,Web applications
7,Website management
7,Windows commands
7,X86 architecture
6,1993 introductions
6,2003 introductions
6,3D computer graphics
6,4GL
6,Alphabet Inc.
6,Array programming languages
6,Asymptotic analysis
6,Broken hash functions
6,Cache (computing)
6,Command shells
6,Computability theory
6,Computer hardware companies
6,Computer networks
6,C (programming language)
6,Data-centric programming languages
6,Distributed version control systems
6,Electronic documents
6,Electronics companies of the United States
6,Email
6,Executable file formats
6,Federated identity
6,Film and video technology
6,Formal methods
6,Free computer programming tools
6,Freeware
6,Human–computer interaction
6,IBM software
6,Instruction set architectures
6,Internet mail protocols
6,IOS software
6,Lists of software
6,Message-oriented middleware
6,Message transfer agents
6,Microsoft Windows multimedia technology
6,.NET Framework implementations
6,.NET Framework terminology
6,.NET programming languages
6,Numerical linear algebra
6,Object-based programming languages
6,Object request broker
6,OpenCorporates groupings
6,Open standards covered by patents
6,OS X web browsers
6,POSIX
6,Programming language implementation
6,Remote procedure call
6,Serial buses
6,Software anomalies
6,Software comparisons
6,Software forks
6,Software requirements
6,Software using the GPL license
6,SQL keywords
6,String (computer science)
6,Sun Microsystems
6,Template engines
6,Unix
6,Unix archivers and compression-related utilities
6,Use American English from April 2015
6,User interfaces
6,Video game development software
6,Web browsers
6,Web design
6,Web development software
6,Web security exploits
6,Web server software
6,Windows Mobile Standard software
6,XML data access
5,1977 software
5,2004 software
5,2008 software
5,3D graphics APIs
5,Access control
5,Algorithms
5,American brands
5,American computer programmers
5,Automata (computation)
5,Automatic identification and data capture
5,Bibliography file formats
5,Binary arithmetic
5,Binary trees
5,BlackBerry software
5,Blog software
5,Bug and issue tracking software
5,Cascading Style Sheets
5,Central processing unit
5,Classification algorithms
5,C libraries
5,Companies listed on the New York Stock Exchange
5,Computer architecture
5,Computer programming folklore
5,Computer science stubs
5,Computer security
5,Computer standards
5,Concurrency (computer science)
5,Concurrent computing
5,Control characters
5,C standard library
5,Database theory
5,Data transmission
5,Debugging
5,Digital audio
5,Digital press
5,Digital registers
5,Dutch inventions
5,Ecma standards
5,Embedded operating systems
5,Enterprise application integration
5,Exponential family distributions
5,Formal sciences
5,Free software
5,Free system software
5,Free text editors
5,Global Positioning System
5,Graph algorithms
5,Graphics libraries
5,Graphics standards
5,Hardware description languages
5,Hypertext
5,Hypertext Transfer Protocol headers
5,Internet software for Linux
5,IRIX software
5,ISO basic Latin letters
5,Java APIs
5,Java programming language family
5,Keyhole Markup Language
5,Linux kernel features
5,Middleware
5,Mobile operating systems
5,Mobile phone manufacturers
5,Mobile software
5,Models of computation
5,MPEG
5,National Security Agency cryptography
5,Numerical analysis
5,Numerical analysis software for Linux
5,Numerical analysis software for OS X
5,Numerical analysis software for Windows
5,Numerical programming languages
5,Numerical software
5,Official blog not in Wikidata
5,Official website not in Wikidata
5,Operators (programming)
5,OS X text editors
5,Parsing
5,Password authentication
5,Perl
5,PHP frameworks
5,Probability distributions
5,Proprietary commercial software for Linux
5,Proprietary software
5,Proxy servers
5,Relational model
5,Routing
5,Ruby (programming language)
5,Secure Shell
5,Silverlight
5,Software engineering folklore
5,Software metrics
5,Software modeling language
5,Software optimization
5,Software using the Eclipse license
5,Spreadsheet software
5,Standards organizations
5,Statistical software
5,Subversion
5,System administration
5,Telecommunications engineering
5,Text editor features
5,Type systems
5,Typography
5,Units of information
5,Vague or ambiguous time from April 2014
5,Vague or ambiguous time from January 2016
5,Vector graphics
5,Vector graphics markup languages
5,Virtual machines
5,Web mapping
5,Web services
5,Windows web browsers
5,XML markup languages
4,1969 software
4,1972 in computer science
4,1985 software
4,1989 software
4,1993 software
4,1997 software
4,2000 software
4,2007 software
4,Academic programming languages
4,American computer scientists
4,American technology writers
4,American websites
4,ARM operating systems
4,Artificial intelligence applications
4,Aspect-oriented software development
4,Assembly languages
4,Assistive technology
4,Binary-to-text encoding formats
4,BitTorrent
4,Block ciphers
4,Business software
4,Cloud clients
4,Collaborative software
4,Combinatorial optimization
4,Combinatorics
4,Companies based in Santa Clara, California
4,Companies in the Dow Jones Industrial Average
4,Compositing window managers
4,Computational physics
4,Computer data
4,Computer errors
4,Computer programmers
4,Computer programming tools
4,Concurrent programming languages
4,Configuration management
4,Conjugate prior distributions
4,Continuous distributions
4,C POSIX library
4,CRM software companies
4,Data analysis
4,Data modeling diagrams
4,Data processing
4,Device drivers
4,Digital signal processing
4,Distributed computing architecture
4,Domain-specific programming languages
4,Dynamic programming
4,Educational programming languages
4,Elementary arithmetic
4,Emacs
4,Embedded Linux
4,Extract, transform, load tools
4,Factorial and binomial topics
4,Formerly proprietary software
4,Free FTP clients
4,Free integrated development environments
4,Free mathematics software
4,Geometric algorithms
4,Graphic design
4,Hardware testing
4,Hashing
4,Identity management
4,Injection exploits
4,Internet companies of the United States
4,Internet properties established in 2005
4,Interpreters (computing)
4,IOS (Apple)
4,JavaScript programming language family
4,Java virtual machine
4,JSON
4,Key management
4,Linear algebra
4,Lisp (programming language)
4,Load testing tools
4,Log file formats
4,Lossy compression algorithms
4,Macromedia software
4,Metadata
4,Microsoft Windows
4,MIME
4,ML programming language family
4,Multilingual websites
4,Naming conventions
4,.NET programming tools
4,Networking hardware
4,News aggregators
4,Novell software
4,Operating system families
4,Operating system technology
4,Optimization algorithms and methods
4,OS X APIs
4,PHP
4,PHP software
4,Planning
4,Plotting software
4,PowerPC operating systems
4,Programming languages created in 1972
4,Project management
4,Proprietary database management systems
4,Prototype-based programming languages
4,Punctuation
4,Python (programming language)
4,RDBMS software for Linux
4,Red Hat
4,Regular expressions
4,Reverse proxy
4,Rich Internet application frameworks
4,Search engine optimization
4,Social information processing
4,Software companies based in Massachusetts
4,Software engineering
4,Software using the LGPL license
4,Software using the Mozilla license
4,Stack-based virtual machines
4,Standard Unix programs
4,Steve Jobs
4,Systems programming languages
4,Technical communication tools
4,Television terminology
4,Tests
4,Time-sharing operating systems
4,Trees (data structures)
4,Tunneling protocols
4,Typesetting programming languages
4,Unicode
4,Uniform Resource Locator
4,Unix Internet software
4,Unix process and task management-related software
4,Unix software
4,Unix text editors
4,Vague or ambiguous time from December 2014
4,Vague or ambiguous time from June 2012
4,Vague or ambiguous time from March 2016
4,Vague or ambiguous time from November 2014
4,Version control systems
4,Web developers
4,Web Map Services
4,Web scraping
4,Web server software for Linux
4,Web server software programmed in Java
4,Whitespace
4,Windows text editors
4,X86 instructions
4,XML software
3,1936 in computer science
3,1969 introductions
3,1982 establishments in California
3,1990 introductions
3,1991 software
3,1992 introductions
3,1995 introductions
3,1999 introductions
3,2001 introductions
3,2006 introductions
3,Adobe Creative Suite
3,Algorithms on strings
3,Alphabetic diacritics
3,American bloggers
3,American software engineers
3,Android (operating system)
3,ANSI standards
3,Anti-patterns
3,Antivirus software
3,AOL
3,Apple Inc. software
3,Archive formats
3,ARM architecture
3,Associative arrays
3,Australian inventions
3,Automation
3,BASIC programming language family
3,Boolean algebra
3,Calendaring standards
3,Character sets
3,Classes of computers
3,Clear text protocols
3,C++ libraries
3,Cloud infrastructure
3,Cloud platforms
3,Commodore 64
3,Companies based in Silicon Valley
3,Computer files
3,Computer hardware stubs
3,Computer law
3,Computer libraries
3,Computer performance
3,Computer printing
3,Computer programming tool stubs
3,Computer science books
3,Computer security software
3,Computer systems
3,Computer vision software
3,Computing commands
3,Computing input devices
3,Copyleft
3,Copyright law
3,Crime prevention
3,Cross-platform web browsers
3,Cybernetics
3,Cyberwarfare
3,Danish inventions
3,Data analysis software
3,Database models
3,Database-related software for Linux
3,Data compression
3,Data mapping
3,Data mining
3,Data mining and machine learning software
3,Data quality
3,Data synchronization
3,Data unit
3,Debuggers
3,Design
3,Determinants
3,Diagrams
3,Disk file systems
3,Distributed bug tracking systems
3,Distributed file systems
3,DOS on IBM PC compatibles
3,DOS software
3,Dynamic programming languages
3,Eclipse (software)
3,Electrical engineering
3,Elementary mathematics
3,Email authentication
3,Email server software for Linux
3,Embedded systems
3,Emulation software
3,English inventions
3,EngvarB from March 2016
3,ERP software
3,ERP software companies
3,Ethereum
3,Extensible syntax programming languages
3,Fault-tolerant computer systems
3,Fellows of the Association for Computing Machinery
3,Fellows of the British Computer Society
3,Filename extensions
3,File sharing
3,Firefox add-ons
3,Font formats
3,Fourier analysis
3,Free and open-source software organizations
3,Free ciphers
3,Free data compression software
3,Free email server software
3,Free file comparison tools
3,Free layout engines
3,Free network management software
3,Free plotting software
3,Free security software
3,Free software companies
3,Free software programmed in C Sharp
3,Free software programmed in JavaScript
3,Free software programmed in Perl
3,Free software projects
3,Free virtualization software
3,Free web browsers
3,Free wiki software
3,FTP server software
3,Gaussian function
3,Git (software)
3,GNOME
3,Google Maps
3,Graphical user interface elements
3,Graph theory
3,Higher-order functions
3,Holism
3,Hypertext Transfer Protocol clients
3,IA-32 operating systems
3,Identifiers
3,Identity management initiative
3,Image compression
3,Image processing software
3,Industrial computing
3,Infographics
3,Information governance
3,Installation software
3,Internet search algorithms
3,Interpolation
3,KDE
3,Latin-alphabet representations
3,Lightweight markup languages
3,Linux
3,Linux APIs
3,Linux archivers and compression-related utilities
3,Linux companies
3,Linux drivers
3,Linux integrated development environments
3,Linux kernel-supported file systems
3,Linux text editors
3,Lisp people
3,Lisp programming language family
3,Literate programming
3,Machine code
3,Machine learning
3,Machine learning task
3,Mac OS software
3,Malware
3,Malware stubs
3,Management
3,Markov models
3,Massachusetts Institute of Technology
3,Members of the United States National Academy of Engineering
3,Merchant services
3,Microkernels
3,Microsoft Dynamics
3,Microsoft software
3,Mobile route-planning software
3,Monte Carlo methods
3,Multi-paradigm programming languages
3,National security
3,Navigation
3,Network file systems
3,Network performance
3,Notation
3,NP-complete problems
3,Numeral systems
3,Object (computer science)
3,Office equipment
3,Open standards
3,OpenTravel Alliance
3,OpenVMS text editors
3,OS/2 web browsers
3,OSI protocols
3,OS X graphics software
3,OS X programming tools
3,Parser generators
3,Personal computers
3,Polymorphism (computer science)
3,Portable media players
3,POSIX web browsers
3,Power Architecture
3,Primality tests
3,Production and manufacturing
3,Program analysis
3,Programming languages created in 1986
3,Programming languages created in 1991
3,Programming languages created in 2003
3,Programming languages created in the 1980s
3,Programming language standards
3,Programming tools for Windows
3,Project management software
3,Proprietary version control systems
3,Public key infrastructure
3,Python implementations
3,Quality control tools
3,Regression analysis
3,Remote desktop protocols
3,Reporting software
3,Resource Description Framework
3,Route planning software
3,Routing algorithms
3,RPM-based Linux distributions
3,SAP SE
3,Scheduling algorithms
3,Scheduling (computing)
3,Search engine software
3,Search trees
3,Secure communication
3,Self-hosting software
3,Self-organization
3,Semantic Web
3,Service-oriented architecture-related products
3,Service-oriented (business computing)
3,Smartphones
3,Software add-ons
3,Software bugs
3,Software companies established in 1982
3,Software licenses
3,Software testing tools
3,Software that uses Cairo
3,Software that uses XUL
3,Software using the PSF license
3,Software version histories
3,Software wars
3,Software written primarily in assembly language
3,Sorting algorithms
3,Sound production technology
3,Sparse matrices
3,Specification languages
3,Speech recognition
3,Statistical charts and diagrams
3,Statistical classification
3,Statistical programming languages
3,Structured programming languages
3,Stylesheet languages
3,Sun Microsystems software
3,Synchronization
3,Tablet operating systems
3,Technology companies of the United States
3,Terminal emulators
3,Threads (computing)
3,Transformation languages
3,Transport layer protocols
3,Turing Award laureates
3,Typesetting
3,Unified Modeling Language
3,Unix text processing utilities
3,URI schemes
3,User interface builders
3,Vague or ambiguous geographic scope from April 2016
3,Vague or ambiguous time from August 2015
3,Vague or ambiguous time from December 2015
3,Vague or ambiguous time from March 2015
3,Variable (computer science)
3,Video
3,Video codecs
3,Video signal
3,Virtual communities
3,Web 2.0
3,Web programming
3,Web service specifications
3,Web software stubs
3,Widget engines
3,Windows architecture
3,Windows disk file systems
3,Windows graphics-related software
3,Windows multimedia software
3,Windows NT
3,Windows NT kernel
3,Windows-only free software
3,Windows Server System
3,World Wide Web Consortium
3,X86-64 Linux distributions
3,Xiph.Org projects
2,1955 births
2,1959 in computer science
2,1961 births
2,1964 births
2,1969 births
2,1971 introductions
2,1976 establishments in California
2,1980 introductions
2,1983 introductions
2,1983 software
2,1984 introductions
2,1987 software
2,1989 introductions
2,1990 software
2,1991 introductions
2,1998 software
2,1999 establishments in Maryland
2,2000 introductions
2,2000s toys
2,2004 introductions
2,2006 software
2,2007 introductions
2,2010 disestablishments in California
2,2010 introductions
2,2010s toys
2,68000-based home computers
2,68k microprocessors
2,Adages
2,Advertising slogans
2,Alan Turing
2,Algebraic logic
2,Algorithm description languages
2,Alphabets
2,American academics
2,American atheists
2,Android (operating system) development software
2,Angle
2,Apache httpd modules
2,APL programming language family
2,Apple Inc.
2,Architecture description language
2,ARM cores
2,Artificial neural networks
2,ASCII
2,ASP.NET
2,Atom (standard)
2,Audio libraries
2,Auditory displays
2,Backward-compatible video game consoles
2,Banking technology
2,Basic concepts in set theory
2,Berkeley Software Distribution
2,Bilinear operators
2,Bioinformatics
2,BIOS
2,BlackBerry Limited
2,Blog hosting services
2,Booting
2,Borland
2,Borland software
2,Building engineering
2,Business software companies
2,Business terms
2,Buzzwords
2,California Institute of Technology alumni
2,Cartography
2,C++ compilers
2,Class (computer programming)
2,Cloud computing
2,Cloud storage
2,Collaborative projects
2,Combinatorial algorithms
2,Common Language Infrastructure
2,Communication
2,Communication software
2,Companies based in Cambridge, Massachusetts
2,Companies based in Cupertino, California
2,Companies based in San Jose, California
2,Companies based in Tokyo
2,Companies based in Trondheim
2,Companies disestablished in 2010
2,Companies established in 1982
2,Companies established in 1983
2,Companies established in 1998
2,Companies established in 2005
2,Companies formerly listed on NASDAQ
2,Comparison sorts
2,Computational biology
2,Computational complexity theory
2,Computational neuroscience
2,Computational science
2,Computational statistics
2,Computer accessibility
2,Computer algebra systems
2,Computer algebra system software for Linux
2,Computer algebra system software for OS X
2,Computer algebra system software for Windows
2,Computer arithmetic algorithms
2,Computer buses
2,Computer companies established in 1976
2,Computer companies established in 1982
2,Computer connectors
2,Computer engineering
2,Computer graphics algorithms
2,Computer graphics data structures
2,Computer jargon
2,Computer keys
2,Computer-related organizations
2,Computer science
2,Computer security models
2,Computer security procedures
2,Computer terminals
2,Computer viruses
2,Computer vision
2,Computing acronyms
2,Consumer electronics brands
2,Cryptographic primitives
2,C Sharp programming language family
2,C software
2,CSS frameworks
2,Cybercrime
2,Cyclic redundancy checks
2,Database APIs
2,Database constraints
2,Database engines
2,Database index techniques
2,Database normalization
2,Database stubs
2,Data collection
2,Data security
2,Data visualization software
2,Date and time representation
2,Defunct companies based in the San Francisco Bay Area
2,Defunct software companies of the United States
2,Desktop environments based on GTK+
2,Development software companies
2,Digital audio players
2,Digital media
2,Digital photography
2,Digital rights management
2,DirectX
2,Discrete transforms
2,Disk image extractors
2,Display technology companies
2,Distributed computing
2,Distributed computing problems
2,Domain name system
2,Eclipse software
2,Eclipse technology
2,Econometrics software
2,Electronic engineering
2,Electronic musical instruments
2,Electronics companies
2,Electronics companies established in 1981
2,Elementary geometry
2,E (mathematical constant)
2,Encodings
2,Equations
2,Ethernet
2,Exponentials
2,Facebook
2,Facebook employees
2,Feistel ciphers
2,Fellows of the Royal Society
2,File archivers
2,File comparison tools
2,File hosting
2,File Transfer Protocol
2,Film and video terminology
2,Finite fields
2,Firefox
2,Firefox OS software
2,Firewall software
2,Floating point
2,Fortran
2,Free and open-source Android software
2,Free container formats
2,Free educational software
2,Free email software
2,Free file managers
2,Free file transfer software
2,Free graphics software
2,Free HTML editors
2,Free multimedia software
2,Free network-related software
2,Free reporting software
2,Free software application servers
2,Free software programmed in Lisp
2,Free software programmed in Ruby
2,Free software project foundations
2,Free terminal emulators
2,Free web software
2,Free X window managers
2,FTP clients
2,Functions and mappings
2,Game theory
2,Geeknet
2,Generic programming
2,Geodesy
2,Geographic information systems
2,GNU people
2,GNUstep
2,Google Chrome
2,Gopher clients
2,GPGPU
2,Grace Murray Hopper Award laureates
2,Graphical user interface testing
2,Graphics
2,Graphics hardware companies
2,Hacking (computer security)
2,Harvard University alumni
2,Hash functions
2,Hex editors
2,High Integrity Programming Language
2,History of cryptography
2,History of software
2,Home computer hardware companies
2,Home video game consoles
2,HTML tags
2,Hypertext Transfer Protocol status codes
2,IBM PC compatibles
2,Identity management systems
2,IEEE DASC standards
2,Implementation of functional programming languages
2,Incomplete lists from February 2011
2,Incomplete lists from July 2014
2,Industrial automation
2,Infinitely divisible probability distributions
2,Infocom
2,Information retrieval techniques
2,Information systems
2,Information technology audit
2,Information technology management
2,Instruction set listings
2,Intel microprocessors
2,Interactive television
2,Interlanguage link template link number
2,Internet forum software
2,Internet layer protocols
2,Internet marketing
2,Internet privacy software
2,Internet properties established in 1999
2,Internet-related lists
2,Internet security
2,Internet services supporting OpenID
2,Internet stubs
2,Interoperability
2,IPhone
2,ISO/IEC standards
2,Italian inventions
2,Java device platform
2,JavaScript engines
2,Key derivation functions
2,Learning
2,Lightweight Unix-like systems
2,Link protocols
2,Linux distributions
2,Linux people
2,Linux programming tools
2,Linux stubs
2,Linux windowing system-related software
2,Lists of file formats
2,Local area networks
2,Location-scale family probability distributions
2,Logic design
2,Logic programming languages
2,Lossless compression algorithms
2,Lua-scriptable software
2,MacArthur Fellows
2,Macintosh computers
2,Macintosh platform
2,Mac OS
2,Mac OS graphics software
2,Mac OS multimedia software
2,Macro programming languages
2,Markov processes
2,Mathematical constants
2,Mathematical optimization
2,Mathematical optimization software
2,Mathematical software
2,Mathematics
2,Means
2,Measurement
2,Media technology
2,Members of the French Academy of Sciences
2,Members of the United States National Academy of Sciences
2,Memory management software
2,Metadata standards
2,Metaphors
2,Microkernel-based operating systems
2,Microsoft initiatives
2,Microsoft Windows security technology
2,Mongolian writing systems
2,Monolithic kernels
2,MP3
2,MPEG-4
2,Multi-agent systems
2,Multidimensional signal processing
2,Multimedia
2,Multiplication
2,Music notation file formats
2,.NET Framework frameworks and libraries
2,Netscape
2,Network addressing
2,Network analyzers
2,Network appliances
2,Network architecture
2,Networking hardware companies
2,Network layer protocols
2,Network software comparisons
2,Network theory
2,Newark, California
2,NeXT
2,Non-profit organizations based in Maryland
2,Normal distribution
2,NoSQL
2,Nothing
2,Objective-C
2,Object-oriented database management systems
2,Online music stores
2,OpenCL compute devices
2,Open source people
2,Operating systems
2,Operating systems that offer the LXDE desktop
2,Operating systems that offer the Xfce desktop
2,Operating system stubs
2,Oracle acquisitions
2,Oracle Corporation
2,Oracle software
2,OS/2 software
2,OS X
2,OS X Internet software
2,OS X multimedia software
2,Package management systems
2,Packaging machinery
2,Packets (information technology)
2,Page description markup languages
2,Pascal compilers
2,Payment systems
2,Pedagogic integrated development environments
2,Permutations
2,Persistence
2,PGP
2,PHP libraries
2,Plan 9 from Bell Labs
2,Pointing devices
2,Polynomial-time problems
2,Portable audio player manufacturers
2,Printing terminology
2,Privacy software
2,Private equity portfolio companies
2,Processor scheduling algorithms
2,Procurement
2,Products introduced in 2006
2,Product testing
2,Programming language comparisons
2,Programming language concepts
2,Programming languages created in 1987
2,Programming languages created in 1988
2,Programming languages created in 1990
2,Programming languages created in 1993
2,Programming languages created in 2001
2,Programming languages created in 2006
2,Programming language semantics
2,Programming language theory
2,Project hosting websites
2,Prolog programming language family
2,Proprietary freeware for Linux
2,Proprietary operating systems
2,Proprietary software that uses Qt
2,Prototype-based programming
2,Publicly traded companies of the United States
2,Python libraries
2,Python scientific libraries
2,Python web frameworks
2,Quality assurance
2,Radio-frequency identification
2,Real-time computing
2,Real-time operating systems
2,Real transcendental numbers
2,Reasoning
2,Recommender systems
2,Records management technology
2,Recurrence relations
2,Recursion
2,Reference
2,Register-based virtual machines
2,Regression and curve fitting software
2,Relational algebra
2,Retail companies of the United States
2,Robert Bosch GmbH
2,Robotics
2,Robot kinematics
2,Scalable Vector Graphics
2,Scheme (programming language)
2,Science fiction fans
2,Science software
2,Sealed computers
2,Security
2,Security technology
2,Seventh-generation video game consoles
2,Sieve theory
2,Signal processing
2,SIMD computing
2,Simple living
2,Social networking services
2,Sociological terminology
2,Software companies based in California
2,Software companies established in 1976
2,Software companies established in 1999
2,Software companies of Germany
2,Software development
2,Software development kits
2,Software engineering stubs
2,Software frameworks
2,Software quality
2,Software stubs
2,Software that uses Qt
2,Software type stubs
2,Software using the CDDL license
2,Software using the PHP license
2,Special effects
2,Specific calendars
2,Speech synthesis
2,Spell checkers
2,Spelling
2,Spreadsheet software for Windows
2,SQL data access
2,Stable distributions
2,Standards
2,Standards for electronic health records
2,Stanford University School of Engineering faculty
2,Static program analysis tools
2,Streaming
2,Summary statistics
2,Supercomputers
2,Surveillance
2,SUSE Linux
2,Systems Modeling Language
2,Systems theory
2,Tasks of natural language processing
2,Tcl programming language family
2,Technicolor SA
2,Technology companies established in 1976
2,Technology in society
2,Technology neologisms
2,Telecommunications
2,Telecommunications equipment
2,Temporal rates
2,Text editors
2,Theorems in computational complexity theory
2,Time measurement systems
2,Time series analysis
2,Time series software
2,Time zones
2,Transmission Control Protocol
2,Troff
2,Turkish language
2,Universal identifiers
2,University of Washington alumni
2,Unix stubs
2,UNIX System V
2,Unix user management and support-related utilities
2,Unknown content
2,Unsolved problems in computer science
2,Usability
2,USA-centric
2,USB
2,Use American English from January 2012
2,Use British English from May 2015
2,Vague or ambiguous geographic scope from June 2012
2,Vague or ambiguous time from February 2016
2,Vague or ambiguous time from June 2014
2,Vague or ambiguous time from May 2009
2,Vague or ambiguous time from May 2016
2,Vague or ambiguous time from November 2015
2,Vague or ambiguous time from September 2012
2,Version control
2,Vi
2,Video game design
2,Video game terminology
2,Virtual avatars
2,Virtual globes
2,Virtual private networks
2,Visualization (graphic)
2,VMware
2,VoIP protocols
2,VoIP terminology & concepts
2,Warrants issued in Hong Kong Stock Exchange
2,Wayland compositors
2,Weapons countermeasures
2,Web analytics
2,Web browsers for AmigaOS
2,Web browsers for iOS
2,Web browsers for Linux
2,Webby Award winners
2,Web crawlers
2,Web technology
2,Wikis
2,Windows APIs
2,Windows compression software
2,Windows Internet software
2,Windows Mobile
2,Windows Phone software
2,Windows text-related software
2,Windows Vista
2,Wireless networking
2,X86-64 operating systems
2,XML-based programming languages
2,Year of birth missing (living people)
1,0 (number)
1,105th United States Congress
1,1781 establishments in New Spain
1,1833 establishments in Illinois
1,1843 introductions
1,1850 establishments in California
1,1901 establishments in the United States
1,1918 establishments in the United States
1,1934 births
1,1937 in computer science
1,1938 births
1,1941 births
1,1952 introductions
1,1953 births
1,1957 births
1,1958 in computer science
1,1959 births
1,1960 births
1,1960 in computer science
1,1961 in science
1,1962 in computer science
1,1963 births
1,1965 births
1,1967 establishments in Illinois
1,1968 books
1,1968 establishments in California
1,1969 books
1,1972 establishments in Germany
1,1972 introductions
1,1973 books
1,1975 establishments in New Mexico
1,1975 introductions
1,1976 introductions
1,1977 establishments in California
1,1978 in computer science
1,1978 introductions
1,1978 software
1,1979 births
1,1979 establishments in Massachusetts
1,1979 establishments in Utah
1,1979 introductions
1,1981 books
